date,generation_rolling_12
2024-05-01,21738.708426666668
2024-04-01,21225.764548333333
2024-03-01,20782.115680833333
2024-02-01,20394.542799166666
2024-01-01,20048.354961666668
2023-12-01,19843.371250833334
2023-11-01,19575.590464166668
2023-10-01,19343.033874166667
2023-09-01,19075.4289975
2023-08-01,18795.880323333335
2023-07-01,18406.303776666668
2023-06-01,18037.753335833335
2023-05-01,17806.257939166666
2023-04-01,17545.4023925
2023-03-01,17341.21556
2023-02-01,17230.209699166666
2023-01-01,17154.573531666665
2022-12-01,17089.929335
2022-11-01,16972.0609475
2022-10-01,16856.744549166666
2022-09-01,16533.813006666667
2022-08-01,16263.2385275
2022-07-01,15946.0712325
2022-06-01,15544.4251675
2022-05-01,15129.581458333334
2022-04-01,14809.855160833335
2022-03-01,14512.272919166666
2022-02-01,14232.1725675
2022-01-01,13942.645138333333
2021-12-01,13701.870825833334
2021-11-01,13578.481066666667
2021-10-01,13361.741484166667
2021-09-01,13137.269373333334
2021-08-01,12793.086930833333
2021-07-01,12511.6488925
2021-06-01,12314.229856666667
