date,generation_rolling_12
2024-05-01,21738.708426666668
2024-04-01,21225.764548333333
2024-03-01,20782.115680833333
2024-02-01,20394.542799166666
2024-01-01,20048.354961666668
2023-12-01,19843.371250833334
2023-11-01,19575.590464166668
2023-10-01,19343.033874166667
2023-09-01,19075.4289975
2023-08-01,18795.880323333335
2023-07-01,18406.303776666668
2023-06-01,18037.753335833335
2023-05-01,17806.257939166666
2023-04-01,17545.4023925
2023-03-01,17341.21556
2023-02-01,17230.209699166666
2023-01-01,17154.573531666665
2022-12-01,17089.929335
2022-11-01,16972.0609475
2022-10-01,16856.744549166666
2022-09-01,16533.813006666667
2022-08-01,16263.2385275
2022-07-01,15946.0712325
2022-06-01,15544.4251675
2022-05-01,15129.581458333334
2022-04-01,14809.855160833335
2022-03-01,14512.272919166666
2022-02-01,14232.1725675
2022-01-01,13942.645138333333
2021-12-01,13701.870825833334
2021-11-01,13578.481066666667
2021-10-01,13361.741484166667
2021-09-01,13137.269373333334
2021-08-01,12793.086930833333
2021-07-01,12511.6488925
2021-06-01,12314.229856666667
2021-05-01,12032.488358333334
2021-04-01,11732.559783333332
2021-03-01,11418.762095833334
2021-02-01,11112.013164999998
2021-01-01,11021.562036666668
2020-12-01,10893.424555
2020-11-01,10720.044630833332
2020-10-01,10564.899646666667
2020-09-01,10442.4552925
2020-08-01,10323.153159166666
2020-07-01,10154.317285
2020-06-01,9894.128266666667
2020-05-01,9698.469855000001
2020-04-01,9430.9679
2020-03-01,9286.0319475
2020-02-01,9205.980526666666
2020-01-01,9015.1898075
2019-12-01,8907.855788333332
2019-11-01,8856.5790975
2019-10-01,8777.954197500001
2019-09-01,8647.576838333332
2019-08-01,8531.996551666667
2019-07-01,8384.0299425
2019-06-01,8218.07288
2019-05-01,8126.2923075
2019-04-01,8055.420779166667
2019-03-01,7955.353441666666
2019-02-01,7845.129405833333
2019-01-01,7825.805060833333
2018-12-01,7780.382425833333
2018-11-01,7748.911230833332
2018-10-01,7675.72851
2018-09-01,7615.573625
2018-08-01,7503.039146666667
2018-07-01,7347.694578333333
2018-06-01,7199.565895833333
2018-05-01,7043.596904166668
2018-04-01,6905.929659166667
2018-03-01,6764.710098333333
2018-02-01,6681.072254166666
2018-01-01,6553.7888175
2017-12-01,6439.762293333333
2017-11-01,6363.413138333333
2017-10-01,6301.257656666668
2017-09-01,6143.230984999999
2017-08-01,5983.699884166667
2017-07-01,5822.254481666667
2017-06-01,5640.698262499999
2017-05-01,5373.957830833334
2017-04-01,5131.9544825
2017-03-01,4922.0224
2017-02-01,4726.693241666667
2017-01-01,4664.2584308333335
2016-12-01,4572.207648333333
2016-11-01,4479.9735083333335
2016-10-01,4370.616914166666
2016-09-01,4234.283550833333
2016-08-01,4082.3108749999997
2016-07-01,3936.0420016666667
2016-06-01,3783.431
2016-05-01,3663.7932325
2016-04-01,3546.6107924999997
2016-03-01,3468.2797825
2016-02-01,3390.2166249999996
2016-01-01,3299.6484775000004
2015-12-01,3252.6809066666665
2015-11-01,3195.5103758333335
2015-10-01,3150.488035
2015-09-01,3115.0308391666663
2015-08-01,3059.3513141666667
2015-07-01,2964.6025741666667
2015-06-01,2866.476033333333
2015-05-01,2787.9989483333334
2015-04-01,2699.9723525
2015-03-01,2602.7119033333333
2015-02-01,2520.902686666667
2015-01-01,2454.1945675
2014-12-01,2410.3074908333333
