date,Coal,Natural Gas,Nuclear,Conventional Hydroelectric,Wind,Solar
2014-01-01,41.4596941266511,24.032302759194017,19.308552049932043,5.709459905255796,4.7269176464378555,0.1981974849240595
2014-02-01,43.91601361974434,23.275235909050508,19.197280954730594,5.331437275315593,4.293406805581521,0.25590653741598757
2014-03-01,40.79415906501987,23.366729752113063,18.65565212711568,7.252434470366284,5.30276529523092,0.3937608194530402
2014-04-01,36.36832576776135,25.553773245830058,18.76472624166345,8.466340969901893,6.201994116159263,0.49486827917626225
2014-05-01,36.19747623879742,27.157706125956466,19.181743107803793,8.088712552679935,4.754068886918311,0.5332748254667679
2014-06-01,38.05547180353898,27.237999872758405,18.847799688534703,7.121103571892886,4.370195592461766,0.531925193006138
2014-07-01,38.43922765480814,29.5648621986559,18.481410691164683,6.257321659781738,3.1308444828082287,0.45933781367531906
2014-08-01,38.24150686766479,31.51758390091603,18.322960566311863,5.102319446877351,2.620068212964585,0.48403383857638926
2014-09-01,36.73431341992351,31.04662644952127,19.67212637232998,4.682161239488149,3.355636274661159,0.5336393797898649
2014-10-01,35.03763611808076,30.752690880127943,19.641614748447175,5.401908407760817,4.567334179135959,0.5405371371365069
2014-11-01,37.20486458125125,26.345442734359388,20.344043573855686,5.816822406556066,5.892402058764741,0.43099140515690587
2014-12-01,36.62794798843142,26.75821204354676,21.562639610618636,6.56287474429213,4.32381433845141,0.3033224388064615
2015-01-01,36.497329887078195,28.021305792684608,20.46535466484434,6.651309154436687,4.177941395292445,0.3182642337134134
2015-02-01,37.63943192698406,27.10529982125442,18.811564216498546,6.606175763522266,4.423286132248014,0.43989791048492516
2015-03-01,33.08277096566635,30.35718097515011,19.683224112536553,7.4043466726029115,4.668083640056231,0.6318440882020193
2015-04-01,29.858673842581716,31.15617681204158,20.05945630364321,7.539743787621546,5.994953595898454,0.7982310743069583
2015-05-01,32.03628031783568,31.129578690061205,20.164002720104886,6.164652114513966,5.25366203309461,0.7670205661984084
2015-06-01,34.25657883976906,33.137617279710405,18.67643611424584,5.564550861641289,3.6583637265645015,0.6972725141607925
2015-07-01,34.33211570737487,34.8605489189456,17.625629380985288,5.1865929509329645,3.3752097936617633,0.6483858228847863
2015-08-01,33.919863786572094,35.064882727492545,18.239451519303618,4.81633352139921,3.2945111630531154,0.6770371564439429
2015-09-01,33.30284914277327,34.74943688925771,18.76358381176577,4.542708915496695,3.943751023196211,0.6257726895523905
2015-10-01,30.64311298735436,34.871310896532506,19.18254629292408,5.266641542179054,5.1874677366742565,0.6048878740566441
2015-11-01,28.713966403207596,33.69851108865326,19.838105991526735,6.3658119883204565,6.479052205715339,0.5694929537591473
2015-12-01,27.343248742751342,33.57510800422851,21.275152611349764,7.07786692412512,6.140506321379032,0.4796793175721505
2016-01-01,31.91604874371294,30.955408279229914,20.401302982908195,7.205506734328761,5.194491015268979,0.4180122196842686
2016-02-01,29.189139832683146,31.072950022197666,20.666811502482673,7.600416875261727,6.340660136460527,0.7059171728048715
2016-03-01,23.360435534092456,33.64028301947863,21.41063070877865,8.865397437806276,7.101057115298717,0.8470516646491063
2016-04-01,24.19728811056939,33.2104113468514,21.049523355736678,8.683280708406455,6.9790383899121204,0.966374852778831
2016-05-01,25.332489898942917,34.27041374798057,20.644297050150236,7.902856203739018,5.844504187713766,1.0620451423450576
2016-06-01,31.041733547351523,35.18539325842697,17.97084002140182,6.2164258962011765,4.361423220973783,0.9291064740502943
2016-07-01,32.55144219633165,36.228869716384374,16.798918740791507,5.123325158618911,4.2070726005382415,0.9420423095200001
2016-08-01,32.5517489650207,37.181496370072594,17.165896682066357,4.696706065878682,3.261294774104518,0.9525409491810164
2016-09-01,31.91376924044793,35.14183058619581,18.29971060688672,4.576605292958101,4.58667114037663,1.0163709823987475
2016-10-01,31.169263738715387,32.333154224916186,19.0838447349981,5.44835235967484,6.389771338254101,1.002692910763159
2016-11-01,28.817182916521656,31.141053050266,21.60426921228393,6.234110608395897,6.432324035864035,0.9171514277664529
2016-12-01,33.95361604423947,27.568459367574693,20.49048845833822,6.441485361690204,6.618191591871514,0.6931001649830013
2017-01-01,33.10162131444431,27.455578165495194,20.98639289824666,7.642478495842673,5.9695024123115425,0.66700916420078
2017-02-01,29.355955585009262,28.008561111186246,21.490688270060453,8.074899579383004,7.46933282841261,0.9301586442878589
2017-03-01,27.372609318908587,29.16416520663081,19.938065891520356,9.070498290839144,7.881436920324925,1.3826437471667137
2017-04-01,26.8431457321923,29.22828637529249,18.727000900987125,9.705908561357884,8.375549915676846,1.619466602420454
2017-05-01,27.934277954752112,29.529154597953788,18.460764890433147,9.817659562936958,6.945556806754063,1.7418088315880118
2017-06-01,29.230175259245566,31.906372519698312,18.219511797236525,8.312987020049048,5.47637561922577,1.6625974040098097
2017-07-01,30.888200861109766,35.567219776498476,17.249770209472207,6.433651008659474,3.899182429490591,1.3470562623965943
2017-08-01,30.379103179829304,35.92670654907036,18.403195338182613,5.602011578270276,3.528652023909103,1.3650358611116056
2017-09-01,28.55580918594338,34.35118277381177,19.801974439872634,5.569141743846232,5.208566568283924,1.4710885590078366
2017-10-01,27.552680199119795,32.80658249292585,20.254178508074663,5.4316001399485625,7.478961679873801,1.4271070545124205
2017-11-01,29.028481002561918,30.332092254583852,21.2540319107189,6.345134747971681,7.215166046127291,1.0238102074739102
2017-12-01,29.951339088683177,31.35916025491458,20.71813497429208,6.2542342864050235,6.241021907249098,0.8531823561326523
2018-01-01,31.484565742414844,29.150752906708195,19.703324403151516,6.615549074208491,6.756760323598115,0.8760376387367532
